Accession ID,Latitude,Longitude,Altitude,Country
PI094790,42.089,43.589,0,Georgia
PI094856,42.089,43.589,0,Georgia
PI573659,43.139,42.673,0,Georgia
PI573660,43.123,42.906,0,Georgia
PI573661,43.123,42.923,0,Georgia
PI573662,43.14,42.89,0,Georgia
PI573663,43.09,42.706,0,Georgia
PI573668,43.14,42.823,0,Georgia
PI573675,43.09,42.707,0,Georgia
PI573682,42.723,45.19,0,Georgia
PI573687,42.49,45.207,0,Georgia
PI573702,42.024,44.824,0,Georgia
PI573703,41.807,43.074,0,Georgia
PI591876,42.741,45.241,0,Georgia
PI005873,50.042,10.175,0,Germany
PI328858,51.594,10.594,0,Germany
PI370833,51.594,10.594,0,Germany
PI264897,35.595,23.929,0,Greece
PI264903,36.479,25.562,0,Greece
PI264904,36.312,27.929,0,Greece
PI264906,36.279,27.929,0,Greece
PI264909,40.946,25.846,0,Greece
PI264911,40.629,23.779,0,Greece
PI264912,40.363,23.529,0,Greece
PI328388,35.113,25.846,0,Greece
PI328409,36.796,22.479,0,Greece
PI328417,38.03,23.63,0,Greece
PI328484,35.252,24.991,0,Greece
PI328485,35.113,26.196,0,Greece
PI328486,35.563,23.88,0,Greece
PI328498,37.697,22.147,0,Greece
PI328520,39.097,22.097,0,Greece
PI328577,36.847,22.664,0,Greece
PI328578,35.297,26.214,0,Greece
PI328632,35.464,23.73,0,Greece
PI328637,37.347,22.647,0,Greece
PI328639,39.097,22.097,0,Greece
PI328787,35.381,25.564,0,Greece
PI329032,37.014,22.531,0,Greece
PI329042,37.248,22.064,0,Greece
PI329043,39.098,22.098,0,Greece
PI329114,38.114,23.081,0,Greece
PI636056,48.404,21.637,0,Hungary
PI636060,48.054,20.921,0,Hungary
CIho03826,34.304,74.454,0,India
CIho03853,34.338,74.888,0,India
CIho03865,34.338,74.888,0,India
CIho03886,34.321,75.105,0,India
CIho05023,20.105,77.105,0,India
CIho05024,20.105,77.105,0,India
PI030842,27.355,80.855,0,India
PI039368,26.089,85.789,0,India
PI164385,29.906,75.939,0,India
PI164744,15.456,75.272,0,India
PI165883,30.356,79.439,0,India
PI166058,27.356,80.856,0,India
PI166060,27.356,80.856,0,India
PI166078,30.356,79.439,0,India
PI176004,30.139,80.289,0,India
PI176010,30.14,80.29,0,India
PI176021,29.94,79.606,0,India
PI176035,29.94,79.606,0,India
PI176042,29.94,79.607,0,India
PI176061,29.94,79.607,0,India
PI176112,30.49,78.59,0,India
PI176113,30.607,78.774,0,India
PI176118,30.607,78.774,0,India
PI176129,30.607,78.774,0,India
PI176144,30.607,78.774,0,India
PI176162,30.607,78.774,0,India
PI181102,32.691,77.107,0,India
PI181108,24.941,72.857,0,India
PI181113,24.024,72.491,0,India
PI331803,20.108,77.108,0,India
PI429883,34.341,76.191,0,India
PI429947,32.141,76.941,0,India
PI429995,29.858,80.391,0,India
PI591958,-7.031,110.514,0,Indonesia
CIho06950,32.109,53.109,0,Iran
CIho06952,32.776,51.742,0,Iran
PI047541,32.109,53.109,0,Iran
PI048641,32.109,53.109,0,Iran
PI138698,27.426,56.393,0,Iran
PI138699,30.393,57.188,0,Iran
PI138706,30.493,57.659,0,Iran
PI138709,29.21,58.46,0,Iran
PI138710,32.11,53.11,0,Iran
PI138711,32.11,53.11,0,Iran
PI138722,31.143,52.943,0,Iran
PI138726,29.11,53.11,0,Iran
PI141423,33.577,49.177,0,Iran
PI141441,36.327,57.81,0,Iran
PI225136,32.11,53.11,0,Iran
PI226639,29.744,51.844,0,Iran
PI227449,29.11,53.11,0,Iran
PI243581,38.344,48.411,0,Iran
PI243587,35.844,50.494,0,Iran
PI243588,30.394,57.19,0,Iran
PI243607,36.328,57.811,0,Iran
PI243609,37.578,57.428,0,Iran
PI244807,36.945,54.595,0,Iran
PI250861,36.411,59.711,0,Iran
PI268241,29.728,52.345,0,Iran
PI268250,32.795,47.378,0,Iran
PI268255,30.412,51.595,0,Iran
PI268256,30.412,51.595,0,Iran
PI289811,32.295,48.345,0,Iran
PI429360,36.312,48.312,0,Iran
PI494169,38.192,46.404,0,Iran
PI494175,32.562,48.462,0,Iran
CIho01458,33.413,44.713,0,Iraq
CIho01461,33.413,44.713,0,Iraq
CIho01468,33.413,44.713,0,Iraq
CIho02337,33.113,44.113,0,Iraq
CIho02339,33.113,44.113,0,Iraq
PI057015,33.113,44.113,0,Iraq
PI076280,33.397,44.63,0,Iraq
PI076281,33.397,44.63,0,Iraq
PI076284,33.397,44.63,0,Iraq
PI076285,33.397,44.631,0,Iraq
PI076286,33.397,44.631,0,Iraq
PI076290,33.397,44.631,0,Iraq
PI076291,33.397,44.631,0,Iraq
PI076294,33.398,44.631,0,Iraq
PI076296,33.398,44.631,0,Iraq
PI178636,33.415,44.715,0,Iraq
PI178637,33.415,44.715,0,Iraq
PI253938,35.665,45.548,0,Iraq
PI584785,33.115,44.115,0,Iraq
PI584786,33.115,44.115,0,Iraq
PI584788,33.115,44.115,0,Iraq
PI282616,31.617,34.867,0,Israel
