Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
PI183631,47.567,16.1,464,67,92,31,7110,222,-69,291,157,-13,157,-26,832,108,39,34,315,133,315,133,0.744,0.447,-0.085
PI183636,48.417,16.234,221,96,96,32,7224,257,-39,296,188,16,188,2,615,77,33,29,219,109,219,110,0.368,0.295,-0.303
PI350713,47.035,13.635,1801,25,87,32,6369,166,-102,268,106,-48,106,-57,1382,162,76,25,477,244,477,260,1.246,1.335,0.09
PI350715,47.168,13.518,1789,4,79,31,6034,136,-114,250,80,-67,80,-73,1444,166,82,22,488,272,488,288,1.443,1.637,-0.007
PI350717,47.302,12.668,1395,30,92,33,6462,174,-104,278,111,-45,111,-55,1199,156,64,31,446,204,446,214,1.176,1.014,0.108
PI350725,47.068,10.635,1408,44,85,32,6196,178,-82,260,121,-28,121,-37,950,124,49,32,349,158,349,160,0.931,0.872,-0.111
PI467467,47.269,11.352,644,67,95,33,6694,213,-70,283,149,-7,149,-22,943,134,46,37,369,150,369,150,0.757,0.59,0.081
PI467486,47.702,14.269,755,52,96,33,6945,205,-85,290,139,-27,139,-40,1287,164,74,29,470,239,470,251,1.021,1.063,0.189
CIho14326,40.06,47.06,205,141,90,27,8208,315,-10,325,181,36,246,36,406,64,17,42,165,62,104,62,0.046,-0.207,-0.407
CIho14327,40.048,47.048,221,141,90,27,8208,315,-10,325,181,36,246,36,406,64,17,42,165,62,104,62,0.046,-0.207,-0.407
CIho14328,40.065,47.065,199,143,92,27,8251,318,-11,329,183,37,248,37,398,61,17,40,158,63,100,63,0.033,-0.221,-0.432
CIho14332,40.108,47.108,148,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
CIho14333,40.102,47.102,153,143,92,27,8251,318,-11,329,183,37,248,37,398,61,17,40,158,63,100,63,0.033,-0.221,-0.432
CIho14334,40.118,47.118,127,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
CIho14341,40.077,47.077,187,143,92,27,8251,318,-11,329,183,37,248,37,398,61,17,40,158,63,100,63,0.033,-0.221,-0.432
CIho14344,40.045,47.045,227,141,90,27,8208,315,-10,325,181,36,246,36,406,64,17,42,165,62,104,62,0.046,-0.207,-0.407
CIho14345,40.108,47.108,148,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
PI068187,40.113,47.113,133,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
PI068189,40.111,47.111,136,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
PI068193,40.11,47.11,144,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
PI068208,40.097,47.097,159,143,92,27,8251,318,-11,329,183,37,248,37,398,61,17,40,158,63,100,63,0.033,-0.221,-0.432
PI068209,40.101,47.101,154,143,92,27,8251,318,-11,329,183,37,248,37,398,61,17,40,158,63,100,63,0.033,-0.221,-0.432
PI068218,40.117,47.117,130,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
PI068226,40.026,47.026,250,141,90,27,8208,315,-10,325,181,36,246,36,406,64,17,42,165,62,104,62,0.046,-0.207,-0.407
PI073296,40.085,47.085,179,143,92,27,8251,318,-11,329,183,37,248,37,398,61,17,40,158,63,100,63,0.033,-0.221,-0.432
PI073297,40.092,47.092,165,143,92,27,8251,318,-11,329,183,37,248,37,398,61,17,40,158,63,100,63,0.033,-0.221,-0.432
PI073303,40.118,47.118,127,145,94,28,8275,321,-10,331,186,38,250,38,386,58,18,38,150,66,93,66,0.004,-0.211,-0.459
PI094853,40.388,50.005,40,147,69,23,7922,301,11,290,118,248,248,47,251,34,7,38,92,28,28,67,-0.293,0.081,-0.964
PI327827,39.231,45.434,894,128,120,29,9827,342,-65,407,123,246,248,-5,282,47,9,48,119,30,50,56,0.057,-0.766,-0.712
PI564595,27.275,89.442,3557,79,119,45,5195,186,-75,261,140,18,140,8,1066,220,4,82,586,26,586,38,0.579,-0.183,1.31
PI574292,27.559,90.192,3003,101,120,45,5181,209,-54,263,162,39,162,30,1263,287,3,94,765,20,765,22,0.493,-0.371,1.995
PI253313,44.428,17.111,524,92,95,32,7037,251,-43,294,49,12,181,-1,1011,115,67,18,309,205,254,244,0.545,1.12,-0.588
PI344920,43.078,18.611,979,86,88,32,6421,233,-38,271,52,167,167,3,1219,144,69,21,394,228,228,343,0.367,1.528,-0.554
PI344926,43.328,18.778,1510,85,93,33,6577,236,-45,281,50,165,167,-1,1160,129,75,16,355,242,243,309,0.403,1.505,-0.661
PI344928,43.395,18.812,1252,99,99,33,6722,256,-37,293,62,183,183,10,1150,130,72,17,358,232,232,312,0.271,1.371,-0.615
PI344930,43.528,18.795,495,104,102,33,6866,265,-36,301,65,186,189,13,1093,120,71,15,332,232,233,290,0.237,1.287,-0.665
PI344932,43.445,18.912,1162,98,101,34,6812,256,-41,297,60,179,183,8,1114,122,72,15,338,236,237,294,0.287,1.339,-0.66
PI344936,43.529,18.795,453,104,102,33,6866,265,-36,301,65,186,189,13,1093,120,71,15,332,232,233,290,0.237,1.287,-0.665
PI344940,43.579,19.095,1271,82,97,33,6741,236,-55,291,45,6,165,-8,1058,107,75,11,296,234,257,256,0.632,1.325,-0.695
PI344941,43.579,19.096,1283,82,97,33,6741,236,-55,291,45,6,165,-8,1058,107,75,11,296,234,257,256,0.632,1.325,-0.695
PI344942,43.579,19.096,1283,82,97,33,6741,236,-55,291,45,6,165,-8,1058,107,75,11,296,234,257,256,0.632,1.325,-0.695
