,Northern Levant,Northern Mesopotamia,Syrian Desert,Southern Levant,Central Asia
PI086185,0.09,0.14,0.14,0.59,0.09
PI087180,0.05,0.09,0,0.64,0.32
PI087752,0.27,0.14,0.05,0.55,0.14
PI087754,0.14,0.05,0.05,0.64,0.23
PI087757,0.18,0.05,0.09,0.55,0.27
PI087763,0.14,0.05,0.09,0.59,0.23
PI087765,0.09,0.14,0,0.68,0.18
PI087767,0.18,0.05,0.09,0.68,0.09
PI087778,0.14,0.09,0.05,0.59,0.23
PI087780,0.09,0.14,0,0.55,0.32
PI087782,0.14,0.05,0.05,0.77,0.09
PI087795,0.14,0.14,0.05,0.55,0.23
PI087800,0.09,0.09,0,0.77,0.14
PI087815,0.05,0.14,0.05,0.64,0.23
PI087835,0.09,0.14,0.05,0.55,0.27
PI087836,0.14,0.09,0,0.73,0.14
PI087838,0.09,0,0.05,0.77,0.14
PI087839,0.09,0.18,0.05,0.64,0.18
PI087842,0.14,0.14,0.09,0.5,0.27
PI087844,0.18,0.14,0.09,0.64,0.05
PI094853,0.09,0.05,0.09,0.64,0.18
PI094856,0.14,0.09,0.09,0.5,0.32
PI125321,0.09,0.18,0.05,0.68,0.14
PI134636,0.14,0.14,0,0.73,0.14
PI135758,0.09,0.14,0.09,0.5,0.32
PI135761,0.05,0.14,0.14,0.64,0.18
PI138698,0.09,0.05,0.05,0.73,0.14
PI138699,0.05,0.09,0.09,0.64,0.23
PI138706,0.09,0.18,0.09,0.64,0.05
PI138709,0.14,0.09,0.09,0.68,0.14
PI138710,0.05,0.05,0.14,0.64,0.14
PI138711,0.18,0.05,0.05,0.55,0.32
PI138722,0.14,0.09,0,0.64,0.27
PI138726,0.09,0.05,0.09,0.68,0.14
PI140277,0.09,0.09,0.05,0.68,0.14
PI140278,0.09,0.14,0,0.82,0.05
PI164385,0.05,0,0.05,0.77,0.14
PI164744,0,0.18,0.14,0.64,0.14
PI165883,0.18,0.14,0.05,0.64,0.09
PI166058,0.05,0.18,0.09,0.68,0.14
PI166060,0.05,0.09,0.05,0.77,0.09
PI166078,0.14,0.18,0.05,0.64,0.09
PI176004,0.09,0.09,0,0.73,0.14
PI176021,0.09,0.09,0.18,0.64,0.14
PI176035,0.05,0.09,0.05,0.73,0.14
PI176042,0.14,0.23,0,0.68,0.05
PI176061,0,0.18,0.09,0.73,0.14
PI176071,0.09,0.14,0,0.77,0.09
PI176112,0,0.18,0.05,0.64,0.23
PI176113,0.05,0.09,0,0.77,0.18
PI176118,0.05,0.18,0,0.73,0.09
PI176129,0.05,0.18,0.05,0.68,0.18
PI176144,0.14,0.18,0.05,0.64,0.14
PI176162,0.05,0.14,0.05,0.68,0.18
PI178637,0.05,0.09,0.05,0.68,0.23
PI181102,0.05,0.18,0.05,0.68,0.05
PI181108,0.05,0.09,0.14,0.68,0.14
PI181113,0.09,0.09,0.05,0.68,0.14
PI182602,0.14,0.05,0.05,0.55,0.32
PI182726,0.14,0.23,0.05,0.59,0.09
PI186125,0.14,0.05,0.05,0.73,0.14
PI186130,0.14,0.14,0.18,0.55,0.14
PI186134,0.14,0.05,0.09,0.59,0.27
