Accession.ID,Country,Latitude,Longitude,altitude
PI382911,Ethiopia,14.343,39.543,2629
PI382982,Ethiopia,12.593,39.61,1685
PI383031,Ethiopia,8.76,38.31,2092
PI383136,Ethiopia,8.36,39.493,1636
PI386462,Ethiopia,14.244,38.977,2145
PI386524,Ethiopia,6.56,38.594,2527
PI386559,Ethiopia,11.927,38.094,2470
PI386601,Ethiopia,7.611,39.327,3331
PI386650,Ethiopia,13.227,37.977,2275
PI386723,Ethiopia,8.077,38.077,2754
PI386759,Ethiopia,8.078,38.078,2728
PI386838,Ethiopia,11.928,38.094,2484
PI386844,Ethiopia,14.178,38.578,1953
PI386940,Ethiopia,7.145,38.861,2666
PI387098,Ethiopia,8.995,38.728,2321
PI129484,Finland,64.079,26.079,128
PI467625,Finland,64.081,26.081,129
PI094806,Former Soviet Union,42.082,45.082,1166
PI283410,Former Soviet Union,60.082,100.082,320
PI467375,France,48.502,-2.581,59
CIho04095,Georgia,41.805,44.871,620
CIho06702,Georgia,42.088,43.588,905
PI027933,Georgia,41.805,44.872,612
PI057095,Georgia,42.088,43.588,905
PI057097,Georgia,42.088,43.588,905
PI057098,Georgia,42.088,43.588,905
PI057099,Georgia,42.089,43.589,929
PI057106,Georgia,42.089,43.589,929
PI078786,Georgia,42.089,43.589,929
PI094790,Georgia,42.089,43.589,929
PI094856,Georgia,42.089,43.589,929
PI573659,Georgia,43.139,42.673,3953
PI573660,Georgia,43.123,42.906,3386
PI573661,Georgia,43.123,42.923,3731
PI573662,Georgia,43.14,42.89,3409
PI573663,Georgia,43.09,42.706,2715
PI573668,Georgia,43.14,42.823,3418
PI573675,Georgia,43.09,42.707,2698
PI573682,Georgia,42.723,45.19,2668
PI573687,Georgia,42.49,45.207,2256
PI573702,Georgia,42.024,44.824,941
PI573703,Georgia,41.807,43.074,1819
PI591876,Georgia,42.741,45.241,2178
PI005873,Germany,50.042,10.175,223
PI328858,Germany,51.594,10.594,300
PI370833,Germany,51.594,10.594,300
PI264897,Greece,35.595,23.929,NA
PI264903,Greece,36.479,25.562,NA
PI264904,Greece,36.312,27.929,73
PI264906,Greece,36.279,27.929,575
PI264909,Greece,40.946,25.846,111
PI264911,Greece,40.629,23.779,NA
PI264912,Greece,40.363,23.529,400
PI328388,Greece,35.113,25.846,87
PI328409,Greece,36.796,22.479,189
PI328417,Greece,38.03,23.63,135
PI328484,Greece,35.252,24.991,371
PI328485,Greece,35.113,26.196,542
PI328486,Greece,35.563,23.88,NA
PI328498,Greece,37.697,22.147,1093
PI328520,Greece,39.097,22.097,584
